smartphone,laptop,audio,smartwatch,accessory,label
5,0,1,0,2,smartphone
5,1,1,0,1,smartphone
0,2,0,6,1,smartwatch
2,2,3,1,3,audio
4,3,1,4,1,smartphone
2,0,0,4,1,smartwatch
1,1,5,1,0,audio
0,0,4,1,2,audio
1,4,2,2,2,laptop
2,1,2,0,4,accessory
1,2,0,6,0,smartwatch
2,5,3,2,1,laptop
2,1,2,2,4,accessory
1,1,6,0,1,audio
3,5,0,1,1,laptop
0,1,1,5,6,accessory
5,5,1,0,1,smartphone
2,1,0,0,5,accessory
1,4,0,5,1,smartwatch
3,0,3,2,1,smartphone
1,2,1,2,4,accessory
2,1,0,2,5,accessory
1,2,0,0,6,accessory
3,3,2,0,2,smartphone
4,3,3,2,1,smartphone
2,2,5,0,0,audio
2,2,2,5,1,smartwatch
1,1,2,5,0,smartwatch
6,2,0,3,1,smartphone
0,0,4,2,1,audio
0,0,0,4,2,smartwatch
0,1,6,0,0,audio
